d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	2	0	2	6	-	-	0.000000	0	32	6;8;10;12	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	0	2	7	-	-	0.000000	0	32	2;4;6;8	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	18.610	25000.50	-
2	2	1	2	1	-	-	0.000000	0	32	3;5;7;9	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	1	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.195	50000.00	-
2	2	1	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	1	2	4	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	1	2	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	1	2	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.932	50000.00	-
2	2	1	2	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	2	2	1	-	-	0.000000	0	32	1;3;5;7	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	17.610	25000.50	-
2	2	2	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	2	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	2	2	4	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	2	2	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	2	2	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	2	2	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	3	2	1	-	-	0.000000	0	32	5;7;9;11	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	3	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	3	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	3	2	4	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.932	50000.00	-
2	2	3	2	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	3	2	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	3	2	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	4	2	1	-	-	0.000000	0	32	1;3;5;7	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	18.195	25000.50	-
2	2	4	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	4	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	4	2	4	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	4	2	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	4	2	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	4	2	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	5	2	1	-	-	0.000000	0	32	7;9;11;13	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	5	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.932	50000.00	-
2	2	5	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	50000.00	-
2	2	5	2	4	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	5	2	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	50000.00	-
2	2	5	2	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.417	50000.00	-
2	2	5	2	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	6	2	1	-	-	0.000000	0	32	1;3;5;7	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	18.610	25000.50	-
2	2	6	2	2	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
2	2	6	2	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.610	50000.00	-
